Usr_Frnd,Org,Str_Ab,Shr_Acc,Whenever,Wherever,Buff_Sp,Ads,Avb,Quality,Variety,Amt_Og,Upd_Freq,Trans_Md,Trans_Safety,Security_PI,Service_Typ,Cost,Plans,Cust_Supp,Recom_Eng,Recom,Reviews
Not Very Important,Not Very Important,Not Important,Neutral,Neutral,Neutral,Neutral,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Very Important,Very Important,Important,Important,Important,Neutral
Not Very Important,Not Important,Neutral,Important,Important,Neutral,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,Important,Important,Very Important,Very Important,Important,Important
Not Very Important,Not Very Important,Neutral,Neutral,Important,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,Important,Very Important,Very Important,Important,Neutral
Not Important,Not Important,Neutral,Important,Important,Important,Important,Important,Very Important,Very Important,Important,Important,Important,Important,Important,Important,Important,Neutral,Neutral,Neutral,Important,Important,Neutral
Not Very Important,Not Very Important,Not Important,Neutral,Neutral,Important,Neutral,Important,Important,Very Important,Very Important,Important,Important,Neutral,Neutral,Neutral,Important,Important,Important,Neutral,Neutral,Neutral,Neutral
Not Very Important,Not Important,Neutral,Not Important,Neutral,Important,Important,Important,Very Important,Very Important,Very Important,Important,Neutral,Neutral,Neutral,Neutral,Important,Very Important,Very Important,Very Important,Important,Important,Neutral
Not Very Important,Not Very Important,Neutral,Important,Important,Important,Very Important,Very Important,Important,Very Important,Important,Important,Important,Very Important,Important,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Neutral
Not Very Important,Not Important,Important,Neutral,Important,Important,Important,Very Important,Very Important,Important,Important,Important,Important,Important,Important,Important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
Not Very Important,Not Very Important,Neutral,Important,Important,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,Important,Important,Important,Very Important,Important,Important,Neutral
Not Very Important,Not Very Important,Neutral,Neutral,Neutral,Neutral,Neutral,Important,Important,Important,Important,Very Important,Very Important,Important,Important,Important,Important,Important,Very Important,Very Important,Important,Important,Neutral
Not Very Important,Not Very Important,Not Very Important,Neutral,Important,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Neutral
Not Very Important,Not Important,Neutral,Neutral,Neutral,Important,Important,Important,Important,Important,Very Important,Very Important,Important,Important,Important,Neutral,Neutral,Neutral,Important,Important,Neutral,Neutral,Neutral
Not Very Important,Not Very Important,Neutral,Neutral,Neutral,Important,Important,Important,Important,Important,Important,Important,Important,Neutral,Neutral,Neutral,Important,Important,Neutral,Neutral,Neutral,Neutral,Neutral
Not Very Important,Not Very Important,Not Important,Not Important,Neutral,Neutral,Neutral,Neutral,Important,Important,Important,Important,Important,Neutral,Neutral,Neutral,Neutral,Important,Important,Important,Neutral,Neutral,Neutral
Not Important,Not Important,Not Important,Neutral,Not Important,Neutral,Not Important,Not Important,Not Important,Not Important,Not Important,Neutral,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Neutral
Not Important,Not Important,Neutral,Neutral,Neutral,Important,Important,Important,Very Important,Very Important,Important,Important,Neutral,Neutral,Important,Important,Important,Important,Very Important,Important,Important,Important,Neutral
Not Very Important,Not Very Important,Not Important,Neutral,Neutral,Neutral,Neutral,Neutral,Very Important,Very Important,Very Important,Very Important,Important,Neutral,Important,Important,Important,Important,Important,Neutral,Neutral,Neutral,Neutral
Not Very Important,Not Very Important,Not Important,Neutral,Important,Important,Important,Important,Very Important,Very Important,Important,Important,Important,Neutral,Neutral,Neutral,Important,Important,Neutral,Neutral,Neutral,Neutral,Neutral
Important,Important,Important,Important,Important,Important,Very Important,Important,Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important
Important,Very Important,Very Important,Very Important,Important,Important,Important,Neutral,Very Important,Very Important,Very Important,Very Important,Important,Very Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Very Important
Important,Important,Important,Very Important,Important,Very Important,Important,Very Important,Important,Important,Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Very Important,Very Important,Important,Very Important,Important,Important
Not Very Important,Not Important,Neutral,Neutral,Important,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,Important,Important,Very Important,Very Important,Very Important,Neutral
Not Very Important,Not Very Important,Neutral,Neutral,Neutral,Neutral,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Very Important,Very Important,Important,Very Important,Very Important,Very Important,Important,Neutral
Not Very Important,Not Very Important,Not Very Important,Neutral,Neutral,Neutral,Important,Important,Important,Important,Neutral,Neutral,Important,Important,Important,Neutral,Neutral,Neutral,Important,Neutral,Neutral,Neutral,Not Important
Not Very Important,Not Very Important,Not Important,Neutral,Neutral,Important,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Very Important,Very Important,Very Important,Important,Important,Important,Important
Not Very Important,Not Very Important,Neutral,Neutral,Neutral,Neutral,Important,Important,Very Important,Very Important,Very Important,Very Important,Very Important,Important,Important,Important,Important,Important,Important,Important,Important,Important,Important
Not Very Important,Not Very Important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Important,Important,Important,Important,Important,Important,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Not Important
